"date","name","id","metricName","metricQuantity","clusterId"
"2024-10-10","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-11","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-12","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-13","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-14","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-15","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-16","IBM Security AppScan Enterprise Dynamic Analysis Scanner","ea6056a6250c4980a21bfdcada615b0d","PROCESSOR_VALUE_UNIT","70","co9020128165.pl.eurolabs.ibm.com"
"2024-10-02","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-03","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-04","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-05","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-06","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-07","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-08","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-09","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-10","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-11","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-12","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-13","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-14","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-15","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-16","IBM Storage Protect Suite - Archive Option","b9210b215bc9405db3ea4375958a7894","TERABYTE","16","co9020128165.pl.eurolabs.ibm.com"
"2024-10-02","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-03","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-04","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-05","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-06","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-07","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-08","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
"2024-10-09","IBM TRIRIGA Workplace Performance Mgmt Facilities Non-Prod Environment","134ca51ee3d3453485228e9681afa9fb","INSTALL","7","co9020128165.pl.eurolabs.ibm.com"
